mesic_shrub,mesic_shrub_occ,xeric_shrub,xeric_shrub_occ,mesic_shrub_Nfix,mesic_shrub_Nfix_occ,xeric_shrub_Nfix,xeric_shrub_Nfix_occ,ann_c3_grass,ann_c3_grass_occ,ann_c4_grass,ann_c4_grass_occ,perenn_c3_grass,perenn_c3_grass_occ,perenn_c4_grass,perenn_c4_grass_occ,ephem_c3_grass,ephem_c3_grass_occ,ephem_c4_grass,ephem_c4_grass_occ,Nfix_mesic_midstory,Nfix_mesic_midstory_occ,Nfix_mod_rain,Nfix_mod_rain_occ,Nfix_xeric,Nfix_xeric_occ,savanna_tree,savanna_tree_occ,subalpine_tree,subalpine_tree_occ,floodplain_sclerophyll,floodplain_sclerophyll_occ,warm_rainforest_tree,warm_rainforest_tree_occ,cold_rainforest_tree,cold_rainforest_tree_occ,tall_sclerophyll_seed,tall_sclerophyll_seed_occ,tall_schlerophyll_resprout,tall_schlerophyll_resprout_occ,med_sclerophyll_seed,med_sclerophyll_seed_occ,med_schlerophyll_resprout,med_schlerophyll_resprout_occ,short_sclerophyll_seed,short_sclerophyll_seed_occ,short_schlerophyll_resprout,short_schlerophyll_resprout_occ
Epacris pulchella,335,Tecticornia indica subsp. leiostachya,633,Allocasuarina monilifera,271,Allocasuarina muelleriana subsp. muelleriana,656,Millotia myosotidifolia,692,Cleome oxalidea,128,Drosera indica,493,Tribulus hystrix,168,Abutilon fraseri subsp. fraseri,332,Atriplex turbinata,45,Acacia flavescens,377,Acacia harpophylla,367,Acacia estrophiolata,319,Eucalyptus rupestris,61,Bedfordia salicina,192,NA,NA,Garcinia russellii,13,NA,NA,NA,NA,Lophostemon confertus,397,Eucalyptus extensa,147,Eucalyptus tetrodonta,552,Eucalyptus valens,91,Eucalyptus normantonensis,307
Aegialitis annulata,299,Rhagodia parabolica,602,Gompholobium subulatum,265,Acacia spinescens,601,Senecio gregorii,681,Iseilema dolichotrichum,128,Drosera burmanni,477,Eriachne schultziana,167,Stylidium repens,322,Atriplex cordifolia,33,Allocasuarina torulosa,374,Acacia rostellifera,364,Acacia calcicola,292,Eucalyptus staigeriana,61,Eucalyptus rodwayi,161,NA,NA,Celtis hildebrandii,12,NA,NA,NA,NA,Corymbia citriodora,390,Eucalyptus dundasii,120,Eucalyptus dives,539,Eucalyptus dielsii,87,Corymbia setosa,305
Astrotricha latifolia,295,Melaleuca acuminata subsp. acuminata,595,Aphyllodium biarticulatum,248,Acacia tenuissima,587,Rhodanthe pygmaea,663,Rhynchospora longisetis,123,Swainsona campylantha,475,Triodia bynoei,150,Rostellularia adscendens var. latifolia,181,NA,NA,Jacksonia dilatata,370,Acacia doratoxylon,337,Acacia paraneura,286,Eucalyptus provecta,58,Eucalyptus glaucescens,134,NA,NA,Samadera sp. Barong (B.Gray 742),10,NA,NA,NA,NA,Eucalyptus siderophloia,381,Eucalyptus sargentii subsp. sargentii,118,Eucalyptus albens,536,Eucalyptus campaspe,86,Eucalyptus herbertiana,302
Epacris gunnii,275,Roepera aurantiaca subsp. aurantiaca,595,Tephrosia oblongata,234,Allocasuarina campestris,550,Gnephosis arachnoidea,637,Iseilema eremaeum,104,Lyginia imberbis,465,Eriachne flaccida,136,Senecio brigalowensis,173,NA,NA,Erythrophleum chlorostachys,366,Acacia deanei subsp. deanei,334,Senna cardiosperma subsp. gawlerensis,188,Livistona victoriae,54,Atherosperma moschatum subsp. moschatum,133,NA,NA,Medicosma obovata,9,NA,NA,NA,NA,Eucalyptus radiata subsp. radiata,371,Eucalyptus torquata,105,Melaleuca quinquenervia,533,Eucalyptus utilis,84,Eucalyptus leucophloia subsp. euroa,274
Hibbertia lepidota,275,Grevillea wickhamii subsp. aprica,575,Allocasuarina distyla,230,Acacia victoriae subsp. victoriae,544,Lepidium oxytrichum,623,Urochloa holosericea subsp. velutina,101,Pelargonium littorale,457,Ischaemum australe var. villosum,128,Thyridolepis multiculmis,168,NA,NA,Acacia disparrima subsp. disparrima,331,Acacia pruinocarpa,315,Allocasuarina decaisneana,182,Livistona eastonii,44,Eucalyptus nitens,133,NA,NA,Cordia aspera,6,NA,NA,NA,NA,Corymbia nesophila,362,Eucalyptus clivicola,94,Eucalyptus bridgesiana,485,Eucalyptus stricklandii,81,Corymbia foelscheana,273
Coronidium elatum subsp. elatum,265,Dodonaea stenozyga,562,Acacia nuperrima,214,Acacia erinacea,523,Calotis plumulifera,617,Eriachne capillaris,99,Neptunia dimorphantha,448,Triodia spicata,126,Rostellularia adscendens var. adscendens,144,NA,NA,Acacia lamprocarpa,328,Acacia melvillei,306,Acacia rivalis,165,Alectryon tropicus,42,Eucalyptus radiata,114,NA,NA,Actephila petiolaris subsp. jagonis,3,NA,NA,NA,NA,Eucalyptus cypellocarpa,352,Eucalyptus fraseri subsp. fraseri,87,Eucalyptus fasciculosa,481,Eucalyptus cernua,65,Eucalyptus pruinosa subsp. pruinosa,272
Gaultheria hispida,238,Tecticornia pergranulata subsp. pergranulata,503,Flemingia lineata,214,Acacia hilliana,509,Angianthus tomentosus,601,Euphorbia schultzii,89,Chamaescilla corymbosa var. corymbosa,440,Eragrostis lanipes,123,Sida goniocarpa,123,NA,NA,Acacia elongata,318,Casuarina obesa,283,Bauhinia gilva,164,Livistona lorophylla,34,Asterotrichion discolor,96,NA,NA,Alangium sp. Claudie River (B.P.Hyland 2682RFK),3,NA,NA,NA,NA,Eucalyptus viminalis,345,Eucalyptus terebra,74,Eucalyptus miniata,456,Eucalyptus kumarlensis,64,Owenia acidula,267
Banksia spinulosa var. spinulosa,224,Olearia ciliata,499,Acacia stigmatophylla,210,Senna pleurocarpa var. pleurocarpa,507,Goodenia berardiana,594,Portulaca oligosperma,89,Goodenia willisiana,439,Eriachne festucacea,118,Brachyscome trachycarpa,118,NA,NA,Acacia dimidiata,307,Acacia pendula,258,Acacia quadrimarginea,141,Corymbia torta,32,Eucalyptus chapmaniana,91,NA,NA,Jagera javanica,3,NA,NA,NA,NA,Eucalyptus laevopinea,311,Eucalyptus triflora,74,Corymbia trachyphloia,452,Eucalyptus tortilis,58,Eucalyptus mannensis subsp. mannensis,249
Pimelea drupacea,219,Prostanthera serpyllifolia subsp. microphylla,490,Gompholobium nitidum,204,Acacia sclerophylla var. sclerophylla,505,Brachyscome iberidifolia,582,Ectrosia laxa,81,Velleia trinervis,437,Halophila australis,116,Trachymene rotundifolia,113,NA,NA,Acacia oncinocarpa,304,Allocasuarina huegeliana,258,Acacia loderi,139,Eucalyptus koolpinensis,28,Eucalyptus delegatensis subsp. delegatensis,87,NA,NA,Lepiderema sp. Impulse Creek (A.B.Pollock 73),3,NA,NA,NA,NA,Eucalyptus propinqua,292,Eucalyptus optima,59,Eucalyptus victrix,443,Eucalyptus tenuis,56,Eucalyptus moderata,246
Myoporum boninense subsp. australe,212,Comesperma scoparium,487,Tephrosia spechtii,196,Acacia stipuligera,493,Podotheca angustifolia,574,Gomphrena parviflora,81,Streptoglossa odora,423,Cenchrus brevisetosus,115,Haloragis odontocarpa f. pterocarpa,108,NA,NA,Millettia pinnata,295,Allocasuarina acutivalvis subsp. acutivalvis,253,Acacia peuce,123,Corymbia cadophora subsp. pliantha,25,Bedfordia linearis,75,NA,NA,Elaeocarpus sp. Yeti Ridge (P.I.Forster+ PIF17330),2,NA,NA,NA,NA,Eucalyptus macrorhyncha subsp. macrorhyncha,259,Eucalyptus stenostoma,56,Angophora floribunda,442,Eucalyptus protensa,47,Eucalyptus shirleyi,245
Richea continentis,188,Eremophila macdonnellii,476,Hovea asperifolia subsp. asperifolia,178,Acacia merrallii,486,Rhodanthe citrina,544,Ischaemum rugosum var. rugosum,79,Chrysocephalum eremaeum,418,Aristida utilis var. utilis,112,Haloragis odontocarpa f. rugosa,105,NA,NA,Trema tomentosa,289,Casuarina cristata,249,Acacia ammobia,100,Planchonia rupestris,23,Correa lawrenceana var. rosea,49,NA,NA,Pseuduvaria mulgraveana,2,NA,NA,NA,NA,Eucalyptus agglomerata,254,Eucalyptus megacornuta,53,Eucalyptus leucoxylon subsp. pruinosa,435,Eucalyptus goniocarpa,37,Syzygium eucalyptoides subsp. eucalyptoides,243
Lasiopetalum floribundum,184,Hakea mitchellii,472,Bossiaea sericea,171,Acacia cupularis,471,Trachymene cyanopetala,536,Panicum seminudum var. seminudum,77,Uraria lagopodioides,413,Aristida arida,107,Vittadinia cuneata var. hirsuta,99,NA,NA,Acacia concurrens,284,Acacia inaequilatera,244,Acacia sibilans,67,Eucalyptus gregoryensis,18,Eucalyptus dalrympleana,41,NA,NA,Arytera lineosquamulata,1,NA,NA,NA,NA,Eucalyptus brookeriana,245,Eucalyptus paliformis,39,Eucalyptus leucoxylon subsp. leucoxylon,434,Eucalyptus singularis,37,Planchonella arnhemica,241
Banksia spinulosa var. collina,181,Leptospermum erubescens,471,Acacia whitei,165,Crotalaria eremaea subsp. eremaea,465,Calocephalus platycephalus,514,Ectrosia confusa,76,Basilicum polystachyon,405,Triodia plectrachnoides,106,Sida argillacea,98,NA,NA,Acacia polystachya,284,Acacia deanei subsp. paucijuga,242,Acacia subtessarogona,61,Atalaya brevialata,15,Eucalyptus denticulata,39,NA,NA,Clerodendrum longiflorum,1,NA,NA,NA,NA,Eucalyptus fastigata,223,Eucalyptus brockwayi,14,Eucalyptus moluccana,429,Eucalyptus stoatei,22,Eucalyptus tenuipes,198
Gaultheria appressa,177,Maireana erioclada,464,Tephrosia subpectinata,164,Acacia dictyophleba,448,Triglochin nana,502,Euphorbia myrtoides,76,Pauridia glabella var. glabella,397,Eriachne glauca var. glauca,104,Rostellularia adscendens var. hispida,97,NA,NA,Acacia obtusifolia,273,Acacia homalophylla,230,Acacia distans,60,Eucalyptus mooreana,13,Persoonia arborea,23,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus caliginosa,218,Eucalyptus fraseri subsp. melanobasis,10,Corymbia confertiflora,427,Eucalyptus dolichorhyncha,20,Corymbia zygophylla,194
Pimelea ligustrina subsp. ligustrina,175,Sclerolaena eriacantha,453,Allocasuarina thalassoscopica,163,Senna notabilis,438,Omphalolappula concava,499,Gomphrena kanisii,75,Goodenia lamprosperma,383,Osteocarpum salsuginosum,102,Rostellularia adscendens subsp. adscendens,84,NA,NA,Acacia irrorata subsp. irrorata,271,Acacia havilandiorum,227,Acacia latzii,53,Eucalyptus costuligera,9,Eucalyptus pauciflora subsp. acerina,18,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus elata,216,Eucalyptus rhomboidea,6,Corymbia latifolia,423,Eucalyptus woodwardii,17,Corymbia chippendalei,190
Tasmannia xerophila subsp. xerophila,161,Lasiopetalum behrii,435,Aphyllodium schindleri,163,Acacia hemiteles,431,Desmodium filiforme,488,Eriachne agrostidea,74,Acianthus fornicatus,373,Triodia intermedia,102,Vittadinia cuneata var. morrisii,76,NA,NA,Acacia latescens,265,Jacksonia sternbergiana,217,Acacia araneosa,46,Schoutenia ovata,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus pilularis,208,Eucalyptus steedmanii,6,Eucalyptus leptophleba,423,Eucalyptus ornata,15,Corymbia pocillum,190
Tremandra stelligera,160,Rhagodia eremaea,433,Acacia sublanata,161,Indigofera monophylla,410,Blennospora drummondii,482,Eriachne semiciliata,71,Desmocladus asper,370,Zoysia macrantha subsp. macrantha,102,Wahlenbergia planiflora subsp. longipila,66,NA,NA,Acacia maidenii,260,Acacia excelsa subsp. excelsa,205,Acacia desmondii,34,Eucalyptus farinosa,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus microcorys,204,Eucalyptus recta,5,Eucalyptus tectifica,416,Eucalyptus melanophitra,14,Eucalyptus todtiana,189
Boronia gracilipes,157,Boronia inornata subsp. leptophylla,429,Acacia producta,156,Acacia multispicata,404,Trachymene ornata,482,Atriplex intermedia,70,Laxmannia gracilis,362,Euphorbia mitchelliana,92,Brachyscome multifida var. multifida,64,NA,NA,Casuarina equisetifolia subsp. incana,233,Acacia tephrina,174,Acacia anastema,24,Auranticarpa resinosa,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus nobilis,199,Eucalyptus rugulata,3,Eucalyptus racemosa,412,Eucalyptus arachnaea subsp. arrecta,12,Corymbia hylandii,188
Leucopogon pimeleoides,152,Tecticornia indica subsp. bidens,416,Daviesia reclinata,148,Daviesia benthamii subsp. acanthoclona,381,Trichanthodium skirrophorum,481,Whiteochloa biciliata,70,Scaevola parvibarbata,345,Maireana excavata,92,Abutilon oxycarpum var. subsagittatum,63,NA,NA,Acacia disparrima subsp. calidestris,220,Senna circinnata,146,Acacia drepanophylla,19,Backhousia gundarara,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus fibrosa,198,NA,NA,Eucalyptus cullenii,408,Eucalyptus arborella,11,Gardenia megasperma,182
Acrothamnus montanus,140,Spyridium phylicoides,413,Tephrosia sp. Pentecost River (I.D.Cowie 4168),147,Indigofera georgei,375,Podolepis lessonii,476,Thaumastochloa striata,63,Glischrocaryon aureum,326,Triodia burbidgeana,91,Cardamine microthrix,59,NA,NA,Cathormion umbellatum subsp. moniliforme,217,Allocasuarina spinosissima,137,Acacia atopa,14,Backhousia tetraptera,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus globulus subsp. bicostata,182,NA,NA,Eucalyptus microtheca,407,Eucalyptus creta,9,Eucalyptus leucophloia subsp. leucophloia,170
Leucopogon gelidus,140,Pimelea flava subsp. dichotoma,405,Allocasuarina rigida subsp. rigida,135,Acacia spondylophylla,369,Leucochrysum stipitatum,464,Ectrosia gulliveri,60,Viola hederacea subsp. hederacea,310,Zoysia macrantha subsp. walshii,86,Abutilon fraseri subsp. diplotrichum,57,NA,NA,Acacia mangium,214,Acacia aneura var. major,128,Acacia toondulya,13,Brachychiton chrysocarpus,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus andrewsii,173,NA,NA,Eucalyptus eugenioides,398,Eucalyptus pterocarpa,8,Eucalyptus pruinosa subsp. tenuata,153
Correa backhouseana var. backhouseana,137,Sclerolaena bicornis var. bicornis,394,Crotalaria alata,128,Gastrolobium parviflorum,345,Cephalipterum drummondii,461,Eriachne compacta,54,Geranium potentilloides var. potentilloides,305,Eriachne basedowii,85,Brachyscome cuneifolia,57,NA,NA,Albizia lebbeck,190,Acacia hamersleyensis,126,NA,NA,Corymbia sp. Prince Regent River (R.L.Barrett & M.D.Barrett RLB 3750),3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus campanulata,173,NA,NA,Eucalyptus dealbata,388,Eucalyptus newbeyi,7,Corymbia dunlopiana,152
Leptospermum polygalifolium subsp. montanum,135,Frankenia pauciflora,389,Dillwynia sp. Trichopoda (J.H.Maiden & J.L.Boorman s.n. 40290),124,Leptosema chambersii,315,Rhodanthe corymbiflora,459,Eriachne nodosa,54,Ranunculus pumilio var. pumilio,305,Triodia danthonioides,84,Vittadinia australasica,46,NA,NA,Acacia oraria,187,Acacia petraea,108,NA,NA,Pandanus rheophilus,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus decorticans,170,NA,NA,Eucalyptus chloroclada,374,Eucalyptus praetermissa,7,Eucalyptus tardecidens,146
Olearia phlogopappa subsp. phlogopappa,135,Dodonaea hexandra,378,Acacia yirrkallensis,118,Dillwynia uncinata,277,Hyalosperma glutinosum subsp. glutinosum,457,Heterachne gulliveri var. gulliveri,48,Scaevola ramosissima,304,Cenchrus elymoides,80,Vittadinia dissecta var. dissecta,40,NA,NA,Podocarpus elatus,173,Acacia assimilis subsp. atroviridis,105,NA,NA,Berrya cordifolia,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus muelleriana,167,NA,NA,Eucalyptus salmonophloia,372,Eucalyptus vesiculosa,5,Corymbia cadophora subsp. cadophora,133
Phebalium squamulosum subsp. ozothamnoides,134,Phebalium bullatum,377,Tephrosia varians,109,Senna artemisioides subsp. quadrifolia,261,Goodenia pusilliflora,446,Eriachne fastigiata,46,Anarthria prolifera,302,Triodia lanata,80,Abutilon oxycarpum var. incanum,39,NA,NA,Archidendron grandiflorum,163,Bauhinia carronii,103,NA,NA,Duboisia arenitensis,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus smithii,167,NA,NA,Corymbia tessellaris,364,Eucalyptus nutans,3,Corymbia papillosa,129
Leucopogon esquamatus,132,Rhagodia crassifolia,375,Bossiaea armitii,102,Senna phyllodinea,251,Ptilotus corymbosus,428,Eragrostis crateriformis,40,Swainsona procumbens,302,Triodia rigidissima,80,Wahlenbergia planiflora subsp. planiflora,37,NA,NA,Acacia binervata,152,Acacia catenulata,102,NA,NA,Brachychiton Wangi (S.E.Pickering 20),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus patens,166,NA,NA,Eucalyptus marginata subsp. marginata,350,Eucalyptus purpurata,3,Syzygium eucalyptoides subsp. bleeseri,126
Epacris petrophila,122,Sida calyxhymenia,353,Jacksonia reclinata,102,Allocasuarina pusilla,240,Trigonella suavissima,412,Brachyachne prostrata,38,Goodenia triodiophila,299,Euphorbia mitchelliana var. filipes,79,Haloragis odontocarpa f. octoforma,32,NA,NA,Acacia brassii,151,Acacia enterocarpa,99,NA,NA,Corymbia sp. Pentland Hills (P.I.Forster+ PIF16644),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus fibrosa subsp. nubilis,164,NA,NA,Eucalyptus phoenicea,347,NA,NA,Clerodendrum floribundum var. ovatum,124
Philotheca difformis subsp. smithiana,122,Spyridium subochreatum,352,Cajanus mareebensis,101,Acacia minyura,237,Blumea tenella,403,Heterachne baileyi,36,Haemodorum coccineum,299,Triodia inutilis,79,Senecio vagus subsp. vagus,32,NA,NA,Castanospermum australe,148,Acacia ensifolia,96,NA,NA,Corymbia sp. Springsure (M.I.Brooker 9786),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus grandis,164,NA,NA,Eucalyptus dwyeri,345,NA,NA,Corymbia lenziana,116
Ardisia brevipedata,121,Melaleuca radula,351,Labichea nitida,100,Acacia stellaticeps,229,Hyalosperma semisterile,400,Whiteochloa multiciliata,36,Stemodia glabella,298,Enneapogon eremophilus,77,Vittadinia cervicularis var. subcervicularis,32,NA,NA,Cycas armstrongii,147,Archidendropsis basaltica,94,NA,NA,Corymbia sp. Yampi Peninsula (R.L.Barrett & A.N.Start RLB 2280),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus bosistoana,149,NA,NA,Eucalyptus persistens,343,NA,NA,Eucalyptus staeri,114
Sprengelia sprengelioides,118,Dodonaea baueri,350,Senna leptoclada,100,Allocasuarina microstachya,223,Rhodanthe microglossa,388,Gomphrena leptoclada,33,Goodenia hederacea subsp. hederacea,295,Triodia hubbardii,75,Pterostylis lustra,29,NA,NA,Acacia celsa,144,Acacia excelsa,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus botryoides,148,NA,NA,Eucalyptus platyphylla,343,NA,NA,Corymbia cliftoniana,113
Pimelea ligustrina subsp. ciliata,117,Maireana astrotricha,347,Flemingia trifoliata,97,Allocasuarina helmsii,222,Rhodanthe tietkensii,383,Iseilema holmesii,31,Actites megalocarpus,293,Eriachne glauca,74,Lepidium hypenantion,23,NA,NA,Acacia riceana,143,Acacia difformis,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus deanei,148,NA,NA,Owenia vernicosa,339,NA,NA,Eucalyptus distans,110
